//version	1.0.0.8																																																																														
//최종수정날짜	2009-04-20 13:44																																																																														
//최종수정자	정만복					1004			1004			1004			1004			1004			1004			1004			1004			1004			1004			1004			1004			1004			1004			1004			1004			1004			1004			1004			1004			1004			1004			1004			1004			1004	
//상점리스트 아이디	상점이름	하임행운적용비율	상점탭	판매아이템1	아이템1수량		판매아이템2	아이템2수량		판매아이템3	아이템3수량		판매아이템4	아이템4수량		판매아이템5	아이템5수량		판매아이템6	아이템6수량		판매아이템7	아이템7수량		판매아이템8	아이템8수량		판매아이템9	아이템9수량		판매아이템10	아이템10수량		판매아이템11	아이템11수량		판매아이템12	아이템12수량		판매아이템13	아이템13수량		판매아이템14	아이템14수량		판매아이템15	아이템15수량		판매아이템16	아이템16수량		판매아이템17	아이템17수량		판매아이템18	아이템18수량		판매아이템19	아이템19수량		판매아이템20	아이템20수량		판매아이템21	아이템21수량		판매아이템22	아이템22수량		판매아이템23	아이템23수량		판매아이템24	아이템24수량		판매아이템25	아이템25수량		
dwID	Name	LottoRatio	iShopTab	wItemCode1	byItemNum1	IGType1	wItemCode2	byItemNum2	IGType2	wItemCode3	byItemNum3	IGType3	wItemCode4	byItemNum4	IGType4	wItemCode5	byItemNum5	IGType5	wItemCode6	byItemNum6	IGType6	wItemCode7	byItemNum7	IGType7	wItemCode8	byItemNum8	IGType8	wItemCode9	byItemNum9	IGType9	wItemCode10	byItemNum10	IGType10	wItemCode11	byItemNum11	IGType11	wItemCode12	byItemNum12	IGType12	wItemCode13	byItemNum13	IGType13	wItemCode14	byItemNum14	IGType14	wItemCode15	byItemNum15	IGType15	wItemCode16	byItemNum16	IGType16	wItemCode17	byItemNum17	IGType17	wItemCode18	byItemNum18	IGType18	wItemCode19	byItemNum19	IGType19	wItemCode20	byItemNum20	IGType20	wItemCode21	byItemNum21	IGType21	wItemCode22	byItemNum22	IGType22	wItemCode23	byItemNum23	IGType23	wItemCode24	byItemNum24	IGType24	wItemCode25	byItemNum25	IGType25	FieldEnd
//에소드상인																																																																															
63863	버서커-루츠(에소드)	0	0	1	1	0	10001	1	0	20001	1	0	30001	1	0	0	0	0	16	1	0	10016	1	0	20016	1	0	30016	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
63863	버서커-루츠(에소드)	0	1	1001	1	0	1051	1	0	1101	1	0	1151	1	0	1201	1	0	1251	1	0	1301	1	0	1351	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
63863	버서커-루츠(에소드)	0	2	11001	1	0	11051	1	0	11101	1	0	11151	1	0	11201	1	0	11251	1	0	11301	1	0	11351	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
63863	버서커-루츠(에소드)	0	3	21001	1	0	21051	1	0	21101	1	0	21151	1	0	21201	1	0	21251	1	0	21301	1	0	21351	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
63863	버서커-루츠(에소드)	0	4	31001	1	0	31051	1	0	31101	1	0	31151	1	0	31201	1	0	31251	1	0	31301	1	0	31351	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
63864	드래곤-아비스(에소드)	0	0	31	1	0	10031	1	0	20031	1	0	30031	1	0	0	0	0	46	1	0	10046	1	0	20046	1	0	30046	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
63864	드래곤-아비스(에소드)	0	1	1011	1	0	1061	1	0	1111	1	0	1161	1	0	1211	1	0	1261	1	0	1311	1	0	1361	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
63864	드래곤-아비스(에소드)	0	2	11011	1	0	11061	1	0	11111	1	0	11161	1	0	11211	1	0	11261	1	0	11311	1	0	11361	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
63864	드래곤-아비스(에소드)	0	3	21011	1	0	21061	1	0	21111	1	0	21161	1	0	21211	1	0	21261	1	0	21311	1	0	21361	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
