//	//맵스크립트_Kr	행	13	141					//입장권수		//마을(필드)1																																	
//	//2005-4-4	열	1	99					//야숲:1개필요		//캐릭터셀렉트2																																	
//				//1~500미션맵					//수로:3개필요		//미션3																																	
//Version	0.0.0.3			//501~1000보스방					//설원:5개필요		//헌팅4																																	
//	//최종수정:	이정환		//1001~5000헌팅맵					//용족:7개필요		//퀘스트5																																	
//	//수정일자	2009-09-22		//5001~10000퀘스트맵							//PVP6																																	
//	//			//10001~마을맵							//이벤트7					//0을값설정없음(헌팅인터페이스에서유저가직접작업)										//마을에서불러올수있는미션지역코드																		
//	//	//맵계열									//길드전8				//미션:30헌팅:40											//야수의숲=1						//마을에서불러올수있는PVP지역코드						//마을에서불러올수있는경쟁헌팅지역코드						
//	//미션맵		//분류를위한네임항목								//공성전9				//제한레벨			//영역ID참조(0은모든ID중랜덤)								//지하수로=2						//야수의숲=20001						//야수의숲=40001						
//	//										//필드10															//설원=3						//지하수로=20002						//지하수로=40002						
											//경쟁헌팅11															//용족의계곡=4						//설원=20003						//설원=40003						
											//듀토리얼12															//아이올트=5						//용족의계곡=20004						//용족의계곡=40004						
								//입장불가:0			//칼버스13															//헬론의성=6						//아이올트=20005						//아이올트=40005						
//	//고유코드로가질것			//맵네임				//입장권코드:65001			//맵종류	//미션타입(메인/서브)	//맵최소입장인원	//맵최대입장인원(0일경우제한인원없음)												//듀토리얼=7						//헬론의성=20006						//헬론의성=40006						
//	1.3		//Version.0.0.0.3.1														0.9.0.2_타임라인						0.9.0.2_타임라인	0.9.0.2_타임라인	0.9.0.2_타임라인	미션맵1	미션맵2	미션맵3	미션맵4	미션맵5	미션맵6	PVP맵1	PVP맵2	PVP맵3	PVP맵4	PVP맵5	PVP맵6	경쟁헌팅1	경쟁헌팅2	경쟁헌팅3	경쟁헌팅4	경쟁헌팅5	경쟁헌팅6	
	MapCode	Mapkind	MName	NCode	FNCode	DCode	ANCode	Guildent	Guilditem	TimeLim	MKind	bMtype	b_min_user	bMaxuser	minLV	maxLV	FreePassLV	StrartID	StartID2	ENTCount	Class1	Fcount	CompleteQCode	CompleteMCode	ContinentCode	bMmap1	bMmap2	bMmap3	bMmap4	bMmap5	bMmap6	wPmap1	wPmap2	wPmap3	wPmap4	wPmap5	wPmap6	wCmap1	wCmap2	wCmap3	wCmap4	wCmap5	wCmap6	FieldEnd
	1	1	야수의숲(메인_야수들의숲)	50001	0	50201	50001	0	0	0	3	0	1	10	5	135	25	STR0	0	0	31	6	1244	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
	2	1	야수의숲(서브1_불길한소문)	52002	0	50201	50001	0	0	0	3	1	1	10	5	135	25	STR3	0	0	31	4	334	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
	3	1	야수의숲(서브2_강철야수부죽의음모)	52001	0	50201	50001	0	0	0	3	2	1	10	5	135	25	STR2	0	0	31	2	351	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
	4	1	야수의숲(서브3_음모의분쇄)	52005	0	50201	50001	0	0	0	3	3	1	10	5	135	25	STR4	0	0	31	4	364	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
//	//5	1	야수의숲(서브4)	50001	0	50201	50001	0	0	0	3	4	1	10	5	135	25	0	0	0	31	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
	6	2	지하수로(메인_에텔레인지하수로)	50002	0	50202	50002	0	0	0	3	0	1	10	20	135	40	STR0	0	0	31	6	420	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
	7	2	지하수로(서브2_에텔레인진입로)	52004	0	50202	50002	0	0	0	3	2	1	10	20	135	40	STR4	0	0	31	5	403	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
	8	2	지하수로(서브3_시겔기사단의묘지)	52003	0	50202	50002	0	0	0	3	3	1	10	20	135	40	STR2	0	0	31	3	412	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
	9	2	지하수로(서브1_숨겨진길)	52009	0	50202	50002	0	0	0	3	1	1	10	20	135	40	STR5	0	0	31	3	387	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
//	10	2	지하수로(서브4_용족의부탁)	52013	0	50202	50002	0	0	0	3	4	1	10	20	135	40	STR6	0	0	31	4	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
	11	3	설원(메인_얼어붙은궁전)	50003	0	50203	50003	0	0	0	3	0	1	10	40	135	65	STR0	0	0	31	6	489	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
	12	3	설원(서브1_제국전령제지)	52008	0	50203	50003	0	0	0	3	1	1	10	40	135	65	STR3	0	0	31	2	440	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
	13	3	설원(서브2_성외곽에서의전투)	52010	0	50203	50003	0	0	0	3	2	1	10	40	135	65	STR4	0	0	31	6	460	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
	14	3	설원(서브3설원2차진격)	52007	0	50203	50003	0	0	0	3	3	1	10	40	135	65	STR2	0	0	31	2	470	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
//	//15	3	설원(서브4)	50003	0	50203	50003	0	0	0	3	4	1	10	40	135	65	0	0	0	31	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
	16	4	화산(메인_용족의계곡)	50004	0	50204	50004	0	0	0	3	0	1	10	60	135	85	STR0	0	0	31	6	553	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
